0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80-89,90+,Dato
77.0,82.0,85.0,76.0,80.0,65.0,42.0,14.0,4.0,2.0,2021-03-08
76.0,274.0,406.0,326.0,329.0,280.0,194.0,91.0,28.0,3.0,2021-03-09
87.0,137.0,146.0,128.0,124.0,116.0,72.0,41.0,11.0,0.0,2021-03-10
59.0,99.0,120.0,94.0,93.0,80.0,61.0,24.0,16.0,-1.0,2021-03-11
67.66666666666667,99.33333333333333,104.66666666666667,85.0,89.33333333333333,78.0,34.666666666666664,23.666666666666668,6.333333333333333,0.0,2021-03-12
67.66666666666667,99.33333333333333,104.66666666666667,85.0,89.33333333333333,78.0,34.666666666666664,23.666666666666668,6.333333333333333,0.0,2021-03-13
67.66666666666667,99.33333333333333,104.66666666666667,85.0,89.33333333333333,78.0,34.666666666666664,23.666666666666668,6.333333333333333,0.0,2021-03-14
74.0,129.0,153.0,127.0,113.0,90.0,46.0,32.0,7.0,0.0,2021-03-15
85.0,135.0,136.0,117.0,114.0,107.0,55.0,24.0,12.0,2.0,2021-03-16
102.0,156.0,145.0,110.0,103.0,95.0,46.0,24.0,5.0,0.0,2021-03-17
102.0,156.0,153.0,126.0,124.0,108.0,46.0,21.0,6.0,1.0,2021-03-18
71.66666666666667,122.66666666666667,125.0,101.0,103.0,81.33333333333333,41.333333333333336,21.0,5.333333333333333,0.6666666666666666,2021-03-19
71.66666666666667,122.66666666666667,125.0,101.0,103.0,81.33333333333333,41.333333333333336,21.0,5.333333333333333,0.6666666666666666,2021-03-20
71.66666666666667,122.66666666666667,125.0,101.0,103.0,81.33333333333333,41.333333333333336,21.0,5.333333333333333,0.6666666666666666,2021-03-21
69.0,134.0,139.0,111.0,111.0,104.0,56.0,25.0,4.0,1.0,2021-03-22
92.0,151.0,150.0,133.0,134.0,122.0,47.0,25.0,9.0,0.0,2021-03-23
85.0,-350.0,-415.0,-332.0,-310.0,-300.0,-244.0,-145.0,-41.0,2.0,2021-03-24
93.0,120.0,144.0,114.0,113.0,107.0,59.0,25.0,12.0,2.0,2021-03-25
78.0,104.33333333333333,130.33333333333334,106.66666666666667,102.33333333333333,89.0,46.666666666666664,22.666666666666668,5.333333333333333,1.0,2021-03-26
78.0,104.33333333333333,130.33333333333334,106.66666666666667,102.33333333333333,89.0,46.666666666666664,22.666666666666668,5.333333333333333,1.0,2021-03-27
78.0,104.33333333333333,130.33333333333334,106.66666666666667,102.33333333333333,89.0,46.666666666666664,22.666666666666668,5.333333333333333,1.0,2021-03-28
107.0,118.0,224.0,193.0,210.0,230.0,85.0,31.0,7.0,5.0,2021-03-29
68.0,82.0,133.0,115.0,113.0,96.0,51.0,32.0,10.0,1.0,2021-03-30
67.66666666666667,117.66666666666667,132.66666666666666,114.66666666666667,109.0,86.33333333333333,44.666666666666664,24.666666666666668,7.0,0.6666666666666666,2021-03-31
67.66666666666667,117.66666666666667,132.66666666666666,114.66666666666667,109.0,86.33333333333333,44.666666666666664,24.666666666666668,7.0,0.6666666666666666,2021-04-01
67.66666666666667,117.66666666666667,132.66666666666666,114.66666666666667,109.0,86.33333333333333,44.666666666666664,24.666666666666668,7.0,0.6666666666666666,2021-04-02
49.666666666666664,101.33333333333333,91.66666666666667,80.33333333333333,86.33333333333333,74.0,30.0,14.0,4.333333333333333,1.3333333333333333,2021-04-03
49.666666666666664,101.33333333333333,91.66666666666667,80.33333333333333,86.33333333333333,74.0,30.0,14.0,4.333333333333333,1.3333333333333333,2021-04-04
49.666666666666664,101.33333333333333,91.66666666666667,80.33333333333333,86.33333333333333,74.0,30.0,14.0,4.333333333333333,1.3333333333333333,2021-04-05
61.0,124.0,101.0,86.0,100.0,67.0,45.0,24.0,6.0,0.0,2021-04-06
41.0,160.0,138.0,117.0,94.0,82.0,49.0,29.0,6.0,1.0,2021-04-07
50.0,131.0,153.0,102.0,91.0,103.0,44.0,17.0,6.0,1.0,2021-04-08
59.0,116.33333333333333,143.0,93.33333333333333,92.0,85.33333333333333,31.333333333333332,23.333333333333332,8.333333333333334,1.3333333333333333,2021-04-09
59.0,116.33333333333333,143.0,93.33333333333333,92.0,85.33333333333333,31.333333333333332,23.333333333333332,8.333333333333334,1.3333333333333333,2021-04-10
59.0,116.33333333333333,143.0,93.33333333333333,92.0,85.33333333333333,31.333333333333332,23.333333333333332,8.333333333333334,1.3333333333333333,2021-04-11
67.0,93.0,118.0,77.0,77.0,67.0,39.0,22.0,2.0,1.0,2021-04-12
79.0,114.0,148.0,105.0,83.0,76.0,37.0,13.0,4.0,4.0,2021-04-13
88.0,143.0,158.0,117.0,115.0,99.0,53.0,23.0,2.0,0.0,2021-04-14
69.0,126.0,114.0,107.0,115.0,80.0,41.0,23.0,0.0,2.0,2021-04-15
89.66666666666667,161.0,149.33333333333334,120.66666666666667,107.66666666666667,95.66666666666667,38.666666666666664,21.0,4.0,1.3333333333333333,2021-04-16
89.66666666666667,161.0,149.33333333333334,120.66666666666667,107.66666666666667,95.66666666666667,38.666666666666664,21.0,4.0,1.3333333333333333,2021-04-17
89.66666666666667,161.0,149.33333333333334,120.66666666666667,107.66666666666667,95.66666666666667,38.666666666666664,21.0,4.0,1.3333333333333333,2021-04-18
77.0,122.0,114.0,94.0,110.0,102.0,54.0,15.0,3.0,0.0,2021-04-19
88.0,149.0,146.0,128.0,117.0,103.0,53.0,12.0,5.0,2.0,2021-04-20
117.0,155.0,170.0,128.0,128.0,120.0,46.0,23.0,4.0,2.0,2021-04-21
65.0,132.0,135.0,119.0,96.0,88.0,41.0,21.0,5.0,0.0,2021-04-22
64.33333333333333,120.66666666666667,106.33333333333333,86.66666666666667,101.33333333333333,84.33333333333333,37.0,15.0,5.333333333333333,0.0,2021-04-23
64.33333333333333,120.66666666666667,106.33333333333333,86.66666666666667,101.33333333333333,84.33333333333333,37.0,15.0,5.333333333333333,0.0,2021-04-24
64.33333333333333,120.66666666666667,106.33333333333333,86.66666666666667,101.33333333333333,84.33333333333333,37.0,15.0,5.333333333333333,0.0,2021-04-25
57.0,108.0,119.0,89.0,110.0,92.0,38.0,11.0,0.0,0.0,2021-04-26
66.0,158.0,189.0,119.0,121.0,115.0,49.0,12.0,4.0,2.0,2021-04-27
67.0,150.0,183.0,103.0,106.0,86.0,52.0,17.0,5.0,0.0,2021-04-28
71.0,131.25,166.0,121.0,116.75,100.75,52.0,18.75,1.5,0.75,2021-04-29
71.0,131.25,166.0,121.0,116.75,100.75,52.0,18.75,1.5,0.75,2021-04-30
71.0,131.25,166.0,121.0,116.75,100.75,52.0,18.75,1.5,0.75,2021-05-01
71.0,131.25,166.0,121.0,116.75,100.75,52.0,18.75,1.5,0.75,2021-05-02
60.0,142.0,168.0,130.0,133.0,95.0,63.0,16.0,1.0,1.0,2021-05-03
78.0,207.0,214.0,150.0,132.0,126.0,63.0,15.0,3.0,0.0,2021-05-04
70.0,206.0,247.0,146.0,140.0,123.0,57.0,16.0,7.0,0.0,2021-05-05
