Uge,00-02,03-05,06-11,12-15,16-19,20-39,40-64,65-79,80+
2020-W09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-W10,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0
2020-W11,2.0,0.0,2.0,3.0,8.0,17.0,24.0,6.0,8.0
2020-W12,1.0,0.0,0.0,0.0,0.0,5.0,12.0,17.0,32.0
2020-W13,3.0,0.0,0.0,1.0,3.0,12.0,26.0,34.0,51.0
2020-W14,4.0,1.0,3.0,4.0,12.0,37.0,54.0,32.0,76.0
2020-W15,6.0,3.0,5.0,7.0,17.0,34.0,37.0,21.0,46.0
2020-W16,4.0,1.0,5.0,5.0,10.0,24.0,27.0,13.0,46.0
2020-W17,2.0,5.0,8.0,8.0,17.0,27.0,26.0,17.0,50.0
2020-W18,9.0,9.0,10.0,12.0,12.0,21.0,19.0,9.0,28.0
2020-W19,8.0,3.0,7.0,9.0,8.0,14.0,14.0,7.0,14.0
2020-W20,5.0,5.0,4.0,5.0,9.0,10.0,8.0,4.0,9.0
2020-W21,5.0,4.0,4.0,3.0,4.0,9.0,7.0,4.0,8.0
2020-W22,3.0,2.0,3.0,2.0,7.0,6.0,5.0,4.0,8.0
2020-W23,3.0,3.0,3.0,4.0,3.0,5.0,4.0,3.0,4.0
2020-W24,2.0,3.0,5.0,1.0,4.0,6.0,5.0,4.0,6.0
2020-W25,1.0,2.0,4.0,5.0,6.0,7.0,7.0,4.0,4.0
2020-W26,4.0,2.0,2.0,3.0,1.0,4.0,3.0,4.0,6.0
2020-W27,1.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,3.0
2020-W28,2.0,0.0,2.0,2.0,5.0,5.0,3.0,1.0,2.0
2020-W29,2.0,1.0,3.0,5.0,7.0,6.0,5.0,3.0,4.0
2020-W30,1.0,3.0,2.0,5.0,6.0,5.0,5.0,2.0,2.0
2020-W31,2.0,3.0,2.0,7.0,8.0,14.0,10.0,3.0,2.0
2020-W32,4.0,9.0,12.0,18.0,28.0,23.0,15.0,6.0,3.0
2020-W33,6.0,8.0,14.0,21.0,39.0,24.0,13.0,4.0,3.0
2020-W34,6.0,8.0,13.0,14.0,27.0,17.0,8.0,3.0,3.0
2020-W35,3.0,3.0,5.0,12.0,19.0,17.0,10.0,5.0,3.0
2020-W36,8.0,9.0,13.0,27.0,27.0,38.0,21.0,9.0,6.0
2020-W37,17.0,14.0,36.0,62.0,57.0,49.0,40.0,21.0,15.0
2020-W38,11.0,18.0,35.0,52.0,113.0,81.0,55.0,25.0,25.0
2020-W39,18.0,30.0,57.0,74.0,139.0,88.0,59.0,26.0,26.0
2020-W40,20.0,30.0,43.0,66.0,104.0,62.0,49.0,23.0,15.0
2020-W41,15.0,16.0,34.0,72.0,85.0,57.0,49.0,24.0,25.0
2020-W42,19.0,22.0,37.0,62.0,95.0,74.0,54.0,32.0,27.0
2020-W43,40.0,43.0,78.0,111.0,226.0,137.0,98.0,44.0,33.0
2020-W44,45.0,59.0,125.0,211.0,244.0,168.0,129.0,54.0,41.0
2020-W45,64.0,87.0,132.0,209.0,196.0,160.0,130.0,56.0,41.0
2020-W46,58.0,64.0,136.0,180.0,224.0,163.0,133.0,55.0,50.0
2020-W47,53.0,72.0,146.0,246.0,250.0,180.0,146.0,64.0,76.0
2020-W48,46.0,75.0,149.0,236.0,304.0,188.0,151.0,67.0,74.0
2020-W49,31.0,54.0,106.0,187.0,243.0,140.0,109.0,43.0,44.0
2020-W50,68.0,80.0,177.0,278.0,333.0,262.0,188.0,76.0,81.0
2020-W51,93.0,126.0,222.0,241.0,362.0,272.0,216.0,112.0,117.0
2020-W52,86.0,113.0,166.0,143.0,193.0,175.0,154.0,82.0,121.0
2020-W53,53.0,81.0,103.0,116.0,155.0,153.0,128.0,85.0,149.0
2021-W01,108.0,126.0,151.0,168.0,273.0,239.0,202.0,117.0,244.0
2021-W02,74.0,98.0,90.0,92.0,131.0,136.0,134.0,73.0,186.0
2021-W03,56.0,80.0,69.0,74.0,82.0,110.0,101.0,57.0,119.0
2021-W04,50.0,67.0,52.0,60.0,63.0,72.0,66.0,39.0,72.0
2021-W05,40.0,42.0,47.0,48.0,54.0,67.0,55.0,35.0,50.0
2021-W06,24.0,41.0,60.0,49.0,53.0,58.0,50.0,25.0,26.0
2021-W07,47.0,80.0,81.0,56.0,77.0,75.0,57.0,26.0,22.0
2021-W08,53.0,69.0,89.0,70.0,83.0,83.0,61.0,28.0,31.0
2021-W09,46.0,70.0,106.0,70.0,88.0,79.0,60.0,25.0,24.0
2021-W10,43.0,79.0,110.0,77.0,99.0,86.0,64.0,21.0,19.0
2021-W11,48.0,84.0,141.0,99.0,122.0,99.0,74.0,27.0,17.0
2021-W12,55.0,69.0,138.0,100.0,130.0,116.0,85.0,31.0,21.0
2021-W13,40.0,74.0,101.0,87.0,134.0,100.0,74.0,30.0,20.0
2021-W14,38.0,58.0,83.0,101.0,174.0,106.0,73.0,30.0,18.0
2021-W15,50.0,85.0,125.0,111.0,180.0,117.0,80.0,24.0,13.0
2021-W16,35.0,80.0,128.0,130.0,138.0,106.0,82.0,24.0,14.0
2021-W17,44.0,68.0,114.0,118.0,177.0,135.0,92.0,27.0,7.0
2021-W18,54.0,72.0,118.0,136.0,298.0,161.0,104.0,30.0,10.0
2021-W19,61.0,82.0,150.0,171.0,364.0,183.0,105.0,26.0,9.0
2021-W20,54.0,72.0,101.0,150.0,357.0,186.0,103.0,22.0,3.0
2021-W21,42.0,74.0,100.0,154.0,315.0,190.0,102.0,12.0,7.0
2021-W22,22.0,23.0,55.0,75.0,154.0,80.0,37.0,5.0,4.0
2021-W23,11.0,12.0,25.0,34.0,58.0,44.0,19.0,3.0,2.0
2021-W24,8.0,9.0,16.0,18.0,33.0,26.0,11.0,1.0,2.0
2021-W25,4.0,7.0,9.0,13.0,19.0,24.0,7.0,1.0,1.0
2021-W26,9.0,9.0,10.0,20.0,79.0,53.0,11.0,2.0,1.0
2021-W27,21.0,31.0,37.0,80.0,225.0,191.0,37.0,6.0,4.0
2021-W28,38.0,56.0,57.0,110.0,324.0,294.0,46.0,8.0,8.0
2021-W29,37.0,55.0,78.0,130.0,233.0,205.0,38.0,10.0,12.0
2021-W30,41.0,80.0,113.0,152.0,263.0,232.0,52.0,12.0,9.0
2021-W31,28.0,45.0,79.0,102.0,113.0,103.0,31.0,8.0,6.0
2021-W32,41.0,71.0,111.0,125.0,101.0,100.0,34.0,10.0,10.0
2021-W33,46.0,79.0,171.0,144.0,82.0,80.0,34.0,13.0,12.0
2021-W34,38.0,68.0,177.0,122.0,63.0,62.0,37.0,14.0,13.0
2021-W35,19.0,44.0,116.0,80.0,39.0,46.0,29.0,12.0,14.0
2021-W36,33.0,65.0,163.0,85.0,58.0,71.0,40.0,20.0,24.0
2021-W37,17.0,33.0,122.0,61.0,29.0,46.0,27.0,15.0,18.0
2021-W38,17.0,40.0,140.0,71.0,36.0,47.0,32.0,22.0,27.0
2021-W39,23.0,43.0,181.0,71.0,42.0,57.0,43.0,24.0,19.0
2021-W40,32.0,69.0,241.0,93.0,57.0,74.0,57.0,34.0,29.0
2021-W41,27.0,72.0,269.0,99.0,69.0,94.0,78.0,50.0,35.0
2021-W42,51.0,139.0,311.0,166.0,113.0,170.0,145.0,108.0,77.0
2021-W43,86.0,190.0,450.0,229.0,206.0,232.0,194.0,136.0,91.0
2021-W44,104.0,280.0,947.0,310.0,221.0,279.0,242.0,153.0,107.0
2021-W45,159.0,389.0,1339.0,468.0,304.0,402.0,350.0,203.0,130.0
2021-W46,200.0,528.0,1572.0,559.0,412.0,496.0,442.0,253.0,155.0
2021-W47,205.0,560.0,1683.0,543.0,411.0,490.0,463.0,275.0,141.0
2021-W48,287.0,643.0,1970.0,606.0,559.0,604.0,560.0,282.0,126.0
2021-W49,378.0,978.0,2593.0,877.0,882.0,917.0,782.0,302.0,143.0
2021-W50,521.0,1251.0,2779.0,1400.0,2011.0,1738.0,1245.0,338.0,182.0
2021-W51,568.0,1199.0,1553.0,1428.0,2455.0,1978.0,1430.0,357.0,217.0
2021-W52,952.0,1852.0,2257.0,2423.0,3453.0,3199.0,2085.0,870.0,668.0
2022-W01,1393.0,2728.0,2636.0,3307.0,6152.0,3579.0,1792.0,537.0,481.0
2022-W02,2641.0,6259.0,6773.0,6749.0,6288.0,3765.0,2323.0,552.0,433.0
2022-W03,3541.0,8557.0,11029.0,11891.0,9086.0,5374.0,3953.0,917.0,565.0
2022-W04,3273.0,7680.0,10538.0,12178.0,7864.0,5561.0,4586.0,1356.0,882.0
2022-W05,3331.0,7387.0,8749.0,10359.0,6673.0,5666.0,4859.0,1918.0,1247.0
2022-W06,3202.0,5952.0,6051.0,7084.0,7549.0,7075.0,5324.0,2760.0,1806.0
2022-W07,2127.0,3177.0,2864.0,3522.0,3874.0,4961.0,4657.0,3254.0,2346.0
2022-W08,1209.0,1611.0,1376.0,1799.0,2009.0,2811.0,3123.0,2666.0,2107.0
2022-W09,390.0,499.0,489.0,618.0,638.0,900.0,1160.0,1145.0,911.0
