Uge,00-02,03-05,06-11,12-15,16-19,20-39,40-64,65-79,80+
2020-W09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-W10,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0
2020-W11,2.0,0.0,2.0,3.0,8.0,17.0,24.0,6.0,8.0
2020-W12,1.0,0.0,0.0,0.0,0.0,5.0,12.0,17.0,32.0
2020-W13,3.0,0.0,0.0,1.0,3.0,12.0,26.0,34.0,51.0
2020-W14,4.0,1.0,3.0,4.0,12.0,37.0,54.0,32.0,76.0
2020-W15,6.0,3.0,5.0,7.0,17.0,34.0,37.0,21.0,46.0
2020-W16,4.0,1.0,5.0,5.0,10.0,24.0,27.0,13.0,46.0
2020-W17,2.0,5.0,8.0,8.0,17.0,27.0,26.0,17.0,50.0
2020-W18,9.0,9.0,10.0,12.0,12.0,21.0,19.0,9.0,28.0
2020-W19,8.0,3.0,7.0,9.0,8.0,14.0,14.0,7.0,14.0
2020-W20,5.0,5.0,4.0,5.0,9.0,10.0,8.0,4.0,9.0
2020-W21,5.0,4.0,4.0,3.0,4.0,9.0,7.0,4.0,7.0
2020-W22,3.0,2.0,3.0,2.0,7.0,6.0,5.0,4.0,8.0
2020-W23,3.0,3.0,3.0,4.0,3.0,5.0,4.0,3.0,4.0
2020-W24,2.0,3.0,5.0,1.0,4.0,6.0,5.0,4.0,6.0
2020-W25,1.0,2.0,4.0,5.0,6.0,7.0,7.0,3.0,3.0
2020-W26,4.0,2.0,2.0,3.0,1.0,4.0,3.0,4.0,5.0
2020-W27,1.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,2.0
2020-W28,2.0,0.0,2.0,2.0,5.0,5.0,3.0,1.0,1.0
2020-W29,2.0,1.0,3.0,5.0,7.0,6.0,5.0,2.0,4.0
2020-W30,1.0,3.0,2.0,5.0,6.0,5.0,5.0,2.0,1.0
2020-W31,2.0,3.0,2.0,7.0,8.0,14.0,10.0,3.0,2.0
2020-W32,4.0,9.0,12.0,18.0,28.0,23.0,15.0,6.0,3.0
2020-W33,6.0,8.0,14.0,21.0,39.0,24.0,13.0,4.0,3.0
2020-W34,6.0,8.0,13.0,14.0,27.0,17.0,8.0,3.0,3.0
2020-W35,3.0,3.0,5.0,12.0,19.0,17.0,9.0,4.0,3.0
2020-W36,8.0,9.0,13.0,27.0,27.0,38.0,21.0,9.0,6.0
2020-W37,17.0,14.0,36.0,62.0,57.0,49.0,40.0,21.0,15.0
2020-W38,11.0,18.0,34.0,52.0,113.0,81.0,55.0,25.0,25.0
2020-W39,18.0,30.0,57.0,74.0,139.0,88.0,59.0,26.0,26.0
2020-W40,20.0,30.0,43.0,66.0,104.0,62.0,48.0,23.0,15.0
2020-W41,15.0,16.0,34.0,72.0,85.0,57.0,48.0,24.0,24.0
2020-W42,19.0,22.0,37.0,62.0,95.0,74.0,54.0,32.0,27.0
2020-W43,40.0,43.0,78.0,111.0,226.0,137.0,98.0,44.0,33.0
2020-W44,45.0,59.0,125.0,211.0,243.0,168.0,129.0,54.0,41.0
2020-W45,64.0,87.0,131.0,209.0,196.0,160.0,130.0,56.0,41.0
2020-W46,58.0,63.0,136.0,180.0,224.0,163.0,133.0,55.0,50.0
2020-W47,53.0,72.0,146.0,246.0,250.0,180.0,146.0,64.0,75.0
2020-W48,46.0,75.0,148.0,236.0,304.0,188.0,150.0,67.0,73.0
2020-W49,61.0,108.0,212.0,373.0,484.0,280.0,216.0,85.0,88.0
2020-W50,136.0,159.0,353.0,553.0,665.0,523.0,375.0,152.0,161.0
2020-W51,185.0,252.0,442.0,480.0,722.0,542.0,429.0,222.0,233.0
2020-W52,172.0,226.0,331.0,284.0,386.0,349.0,307.0,163.0,241.0
2020-W53,106.0,161.0,204.0,232.0,308.0,304.0,255.0,169.0,296.0
2021-W01,108.0,126.0,151.0,167.0,272.0,238.0,202.0,116.0,243.0
2021-W02,74.0,98.0,90.0,91.0,130.0,136.0,134.0,72.0,184.0
2021-W03,56.0,80.0,69.0,74.0,81.0,109.0,100.0,56.0,118.0
2021-W04,48.0,66.0,51.0,59.0,62.0,71.0,65.0,38.0,72.0
2021-W05,40.0,42.0,47.0,47.0,53.0,67.0,54.0,35.0,49.0
2021-W06,24.0,41.0,60.0,49.0,53.0,58.0,49.0,25.0,24.0
2021-W07,47.0,80.0,81.0,56.0,76.0,74.0,56.0,25.0,20.0
2021-W08,52.0,69.0,88.0,69.0,82.0,83.0,60.0,27.0,30.0
2021-W09,46.0,70.0,105.0,68.0,87.0,78.0,59.0,24.0,21.0
2021-W10,43.0,79.0,110.0,76.0,98.0,85.0,63.0,20.0,17.0
2021-W11,48.0,84.0,140.0,97.0,121.0,98.0,73.0,26.0,14.0
2021-W12,55.0,69.0,138.0,99.0,129.0,115.0,84.0,31.0,19.0
2021-W13,39.0,74.0,100.0,87.0,132.0,99.0,74.0,29.0,18.0
2021-W14,38.0,58.0,83.0,101.0,172.0,105.0,72.0,29.0,18.0
2021-W15,49.0,85.0,125.0,111.0,180.0,116.0,79.0,24.0,11.0
2021-W16,35.0,80.0,127.0,129.0,137.0,105.0,81.0,24.0,12.0
2021-W17,43.0,68.0,114.0,117.0,176.0,134.0,91.0,27.0,6.0
2021-W18,54.0,72.0,117.0,135.0,296.0,160.0,103.0,30.0,9.0
2021-W19,60.0,82.0,149.0,171.0,361.0,182.0,105.0,25.0,9.0
2021-W20,53.0,72.0,99.0,150.0,353.0,184.0,102.0,22.0,2.0
2021-W21,42.0,74.0,99.0,152.0,313.0,189.0,101.0,12.0,7.0
2021-W22,43.0,47.0,110.0,149.0,305.0,158.0,74.0,9.0,7.0
2021-W23,22.0,24.0,49.0,66.0,114.0,87.0,37.0,5.0,3.0
2021-W24,15.0,19.0,31.0,35.0,66.0,51.0,21.0,3.0,4.0
2021-W25,8.0,13.0,19.0,25.0,37.0,49.0,15.0,2.0,1.0
2021-W26,18.0,17.0,20.0,40.0,157.0,104.0,22.0,3.0,1.0
2021-W27,21.0,31.0,37.0,78.0,222.0,189.0,37.0,6.0,3.0
2021-W28,38.0,56.0,57.0,109.0,319.0,290.0,46.0,8.0,7.0
2021-W29,37.0,55.0,77.0,128.0,231.0,202.0,37.0,10.0,11.0
2021-W30,40.0,80.0,110.0,151.0,259.0,228.0,51.0,12.0,9.0
2021-W31,55.0,89.0,157.0,202.0,224.0,201.0,61.0,16.0,12.0
2021-W32,83.0,140.0,219.0,247.0,195.0,195.0,67.0,19.0,19.0
2021-W33,91.0,158.0,338.0,284.0,158.0,157.0,67.0,25.0,23.0
2021-W34,77.0,136.0,350.0,241.0,120.0,121.0,73.0,29.0,25.0
2021-W35,37.0,88.0,230.0,158.0,76.0,90.0,57.0,23.0,28.0
2021-W36,33.0,65.0,161.0,84.0,57.0,69.0,39.0,20.0,24.0
2021-W37,17.0,33.0,122.0,60.0,29.0,45.0,27.0,15.0,17.0
2021-W38,17.0,40.0,139.0,71.0,36.0,46.0,32.0,22.0,27.0
2021-W39,23.0,43.0,179.0,70.0,40.0,56.0,43.0,24.0,19.0
2021-W40,32.0,68.0,240.0,91.0,54.0,73.0,56.0,33.0,29.0
2021-W41,26.0,72.0,269.0,98.0,65.0,92.0,77.0,49.0,34.0
2021-W42,50.0,138.0,308.0,165.0,110.0,166.0,144.0,107.0,77.0
2021-W43,86.0,189.0,446.0,225.0,201.0,227.0,192.0,136.0,91.0
2021-W44,103.0,279.0,939.0,305.0,217.0,273.0,240.0,153.0,105.0
2021-W45,159.0,388.0,1325.0,463.0,295.0,396.0,347.0,202.0,129.0
2021-W46,200.0,527.0,1561.0,549.0,406.0,487.0,439.0,252.0,154.0
2021-W47,204.0,560.0,1671.0,539.0,403.0,480.0,459.0,274.0,140.0
2021-W48,286.0,641.0,1956.0,595.0,546.0,593.0,556.0,281.0,125.0
2021-W49,377.0,973.0,2574.0,867.0,861.0,886.0,774.0,300.0,142.0
2021-W50,519.0,1242.0,2734.0,1371.0,1920.0,1641.0,1214.0,333.0,176.0
2021-W51,565.0,1183.0,1517.0,1382.0,2319.0,1851.0,1381.0,352.0,211.0
2021-W52,943.0,1802.0,2160.0,2315.0,3193.0,2956.0,1990.0,856.0,653.0
2022-W01,1370.0,2650.0,2478.0,3110.0,5602.0,3241.0,1685.0,524.0,471.0
2022-W02,2592.0,6040.0,6352.0,6355.0,5787.0,3451.0,2190.0,538.0,420.0
2022-W03,3467.0,8249.0,10279.0,11194.0,8383.0,4929.0,3743.0,896.0,549.0
2022-W04,3205.0,7437.0,9837.0,11507.0,7261.0,5131.0,4355.0,1329.0,859.0
